"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
88279,"Oversleep part3","Action,Fantasy,Sci-fi","http://tapastic.com/episode/88279","http://d2me59s95dy7e.cloudfront.net/cartoons/73/01/d3/0d/f6952cdceb3041588f1c0a1216a497a6.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/26/0b/ea/8a/bd14c1fab8c84c95be17a902fff66e33.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/1e/5c/2f/2f/00a54e6b8ca74e02b36063f8f7bb623e.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/9a/32/ba/fd/fd56731a75fc49c9b710c3c15aafaab8.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/fd/77/fb/51/83fbce85134848b8ab43160ec90da5f5.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/3c/a2/b0/15/0fa616baa3ae48bfbc860e384a6ef1f5.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/95/ea/9d/55/5c14526598da4121bf608e6d53791b28.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/5e/3b/78/c9/8f9c1adfb1a34fd7bd3e1d3aa2322f1f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/f8/6f/87/d0/892eeb9e7bd54fcdb217bc328873a704.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/1a/bc/3f/c9/ea1c4b28176c488f953865818530ce86.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/92/c5/13/ba/d84107c4d19f40a58eb6a0b928d24855.jpg"
88256,"Spy","Comedy,Sci-fi,Gaming","http://tapastic.com/episode/88256","http://d2me59s95dy7e.cloudfront.net/cartoons/74/c9/f5/39/dd47bf898d9e4fc7928f06b9be6de19f.jpg"
88250,"Lucius","Comedy,Fantasy,Drama","http://tapastic.com/episode/88250","http://d2me59s95dy7e.cloudfront.net/cartoons/c3/de/7f/eb/4cb75e4e4460404f8ba6fc866f76e662.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/29/85/b8/e8/d610caf974e94451866f51474ac6e3dc.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/b4/0c/c7/6e/bc0bcafac6da4d7dbb2427a8575befe2.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/b6/09/3c/fa/a7b0875f68654a46b05b92138f853f75.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/f6/da/20/68/68ea06b6b89546edaa94be5c000ecc7a.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/c7/55/95/57/7e4c6f68ccd04ecead484e64e9326ddf.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/00/12/df/0e/cfa9b1fa67fc49029a685340267aa8c0.jpg"
88228,"salutations, pt. 1","Slice of Life,Comedy","http://tapastic.com/episode/88228","http://d2me59s95dy7e.cloudfront.net/cartoons/be/5b/f3/64/eef1f121a34d4850998b3678796eb6b7.jpg"
88214,"Gifts","Comedy","http://tapastic.com/episode/88214","http://d2me59s95dy7e.cloudfront.net/cartoons/09/6f/57/49/6580251fab11483bbb7f283ca66c2177.jpg"
88195,"You think this is a joke?","Slice of Life,Comedy","http://tapastic.com/episode/88195","http://d2me59s95dy7e.cloudfront.net/cartoons/cc/44/5d/11/113b8904f7fd41f8b979ecaa471c9cae.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/56/5d/06/1f/11f92e476af741168e03c812416c2d4a.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/67/79/60/a8/8df0990f13aa4be4a0a2bfefe0effc8f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/63/91/71/58/58e9aa2de82d402ca045f746d2b4ad57.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/ff/dc/1d/78/1e1c5a4120134e8b86b9d869dfec5a85.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/82/dc/13/b0/341e6e30999d4d6d925ee0521f4e8db7.jpg"
88159,"enslaved","Slice of Life,Comedy","http://tapastic.com/episode/88159","http://d2me59s95dy7e.cloudfront.net/cartoons/8a/1c/5a/2a/7be26cac629b401cb5c18d9e944d4d84.jpg"
88152,"Chapter one? (Part 1)","Slice of Life,Comedy,Romance","http://tapastic.com/episode/88152","http://d2me59s95dy7e.cloudfront.net/cartoons/30/1b/37/8c/2a8b46015a3f4af1b360bba537db5243.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/37/8e/62/77/a394b953238d4ac79226f93e656374f2.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/c8/a4/eb/d9/266f71d8dddc4e98ae38aa1cdde031b5.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/53/c8/97/bd/8fcf017349044072a9f771b86e2b6f41.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/7b/ab/d1/11/ace538698b034f3492d2b6146704e88c.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/fe/8d/9e/1f/0a86b192474a4bbab2de9660ddc5644f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/8e/12/b7/05/a6772eb9a0964d408480a21df88b8a93.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/6a/ee/b5/a4/9eb362eb5a844bd0b5c17c79543a3081.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/33/36/9e/c6/00a05b11ae6a4f7b86340276554f8023.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/cd/a4/08/1b/30bbc15a7b8a402ba0f8c0f5b5a00e13.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/d9/51/67/c3/445ba38a99154f74a0ee4fbe3d2b4c8b.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/4e/97/69/e3/8a0746dd94d243b587c97905574d38f4.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/3d/f1/da/05/54428d3d1dbe4226b6e827637654a1b6.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/bf/43/c5/ac/0e1c932105d244d59a54219eaf232e4d.jpg"
88148,"Arm Love","Slice of Life,Comedy","http://tapastic.com/episode/88148","http://d2me59s95dy7e.cloudfront.net/cartoons/47/c4/07/74/9fe6f36729b945bb937bbf55d1a97ffe.jpg"
88115,"PLUS-SIZED PHONE","Comedy","http://tapastic.com/episode/88115","http://d2me59s95dy7e.cloudfront.net/cartoons/28/15/9c/95/eeea67e0927840a8b95dad5e752c3c50.jpg"
88096,"Gay bar","Slice of Life,Comedy","http://tapastic.com/episode/88096","http://d2me59s95dy7e.cloudfront.net/cartoons/b4/dd/99/17/f8e2b2c8d2844df2a8b4067730da0cc1.jpg"
